CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
MSN,2018,2,0.0,0.0,1.3205010322198294,1.4552329478962207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14262997164318406,0.30568808721931173,0.24116065218499044,0.0,0.0,0.0,0.0,1309969000000.0,,0.0,0.0,0.0,-1.7624094725696673,2.913863194672681,88980940422000.0,1163149548.0,14.6954412109,5.2295826229,2.4009761066,18.0898136618,1904.2375108243605,14628.3184559171,14.4802385559
MSN,2018,1,3.0772730428,2.1567017109,1.495052562232976,1.294174730989709,0.5815951117,1.2745042865,11.021764681258636,67.9758548164,31.8944367022,110.89205619985863,5.3695536597,0.16343813682220906,0.3337578361499702,0.09863049195231371,0.1657625086,0.0916034133,0.0573220527,7594581000000.0,1352286000000.0,,0.9037594901,0.3014867878,0.5667704657,-1.7858349323652423,3.1567017108791946,85313218896000.0,1053249616.0,24.3516750338,6.3136042602,2.283863875,18.2574657942,774.8096819624191,12829.438884924,15.2107894953
MSN,2017,4,2.9876734934,2.1410585658,1.4748700321554378,1.3368246100913321,0.5509455686,1.2613578851,12.21336264399313,68.5669515941,33.0007150955,113.78102933359314,5.3232642186,0.1549672840125318,0.3336646232695534,0.18584490242237942,0.1530750297,0.0804882334,0.0454377892,7039227000000.0,1575915000000.0,,0.9750176833,0.4775070629,0.6960567211,-1.725761111555229,3.1410585658135806,93434684546400.0,1047474042.0,33.2739093888,6.9582636531,2.4836012796,37.3176543733,1804.2642817109543,12819.2900479879,17.3054900128
MSN,2017,3,2.3756126056999998,1.6369448419,1.1518905568046318,1.6567926271832112,0.5965836158,1.3850984218,10.523051872394717,67.7276263678,27.9817351198,106.23241335999472,5.3892336049,0.13107088842331668,0.30809210781589547,0.08032124341565282,0.0959295933,0.0817490291,0.0316896766,7328211000000.0,1236339000000.0,,1.2128795143,0.3827258811,0.8600949874,-1.6818124313890328,2.636944841916054,95110643013600.0,1047474042.0,43.6211388699,5.5052968051,2.3426098269,28.6301562913,723.300024269241,16493.2070359279,16.8517569996
MSN,2017,2,2.4968570532,1.7315242862,1.2206719095211094,1.5844304303671772,0.6040019343,1.4333315743,9.787468654579348,68.0677560739,27.2470171514,105.10224187987934,5.3623039902,0.08421808442232875,0.30203369757258347,0.023005233866622753,0.1003157478,0.0884870286,0.0316823555,7669744000000.0,798290000000.0,,1.1070773433,0.4472142553,0.7183260038,-0.8918594323444142,2.731524286153442,68888385840000.0,1148139764.0,30.8336388876,3.7698225117,1.6334160859,38.9585172404,189.92722561954574,15915.8686685204,12.6328445695
MSN,2017,1,3.4990996104,2.2856271156,1.4236747465533826,1.3599810973698976,0.6103108197,1.4967134646,9.582458066669151,62.8628807889,27.5390854707,99.98442432626915,5.8062881532,0.09579039012911797,0.2891874754460404,0.02775723035434401,0.1270573197,0.0989707725,0.0393259289,8431661000000.0,818037000000.0,,1.4023231086,0.5719607428,0.9247961212,-0.9171404450732838,3.285627115619248,48717620619200.0,1138262164.0,17.4621665696,3.1658609318,1.1311711218,18.0522524857,208.24991596575637,13519.2293413731,9.6275142726
MSN,2016,4,3.6215474859000003,2.5957458969,1.4681259561479623,1.3426034703525205,0.5976594813,1.5240179159,9.163461637951288,59.2044424307,30.11265304,98.48055710865128,6.1650779066,0.14497604606165068,0.3098127110333831,0.07178393832041498,0.1177286224,0.0,0.0385322426,8402461000000.0,1906288000000.0,,1.2781115095,0.7346414434,0.9769942,-2.1852505264557633,3.5957458969483267,50595753189800.0,1138262164.0,12.2305748799,2.2349185793,1.1685723815,8.2894567512,829.2342747149416,19888.867724887,9.3469702733
MSN,2016,3,3.1137338451,2.1339019985,1.2556631834491152,1.543419294059282,0.5928896601,1.514828275,8.698701582408914,54.9127042578,28.0062862871,91.61769212730891,6.6469135865,0.1463050976438783,0.2981651592861532,0.07388460080612483,0.1129091246,0.0,0.0390271518,8139506000000.0,1610341000000.0,,1.4471819017,0.7368316947,1.108035125,-1.9119649412759248,3.133901998490503,48148490890800.0,1138262196.0,17.2958534321,2.0215502291,1.1560858975,9.4009616129,714.4469902082209,20924.5357310121,9.5332695732
MSN,2016,2,0.0,0.0,1.1529825782691554,1.5286731206015345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15537419307568315,0.30487577028976004,0.0752924980140214,0.0,0.0,0.0,0.0,1611653000000.0,,0.0,0.0,0.0,-2.27168075731478,2.9596297084992145,49067484184800.0,746841464.0,22.5541794256,3.1642428613,1.2467622205,8.6917777334,1045.7212643458693,20763.2608745394,10.3704746349
MSN,2016,1,2.7827253382999997,1.8683299767,1.1468018591020703,1.5555370544191636,0.5120803347,1.3808737786,13.802725596363183,67.2697280418,32.1471306749,113.21958431306318,5.4259175802,0.10205920517079871,0.27508836618188526,0.0288918697182432,0.067732649,0.0,0.0246981565,6571895000000.0,894919000000.0,,1.4989613242,0.3838186206,1.198443055,-1.2999249025694362,2.8683299767227695,49900994484000.0,756075674.0,28.4615737824,3.2665186583,1.3933898591,9.6436759024,335.0749253175946,20204.997094619,10.1945441959
