CP,Năm,Kỳ,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,(Lãi)/lỗ các hoạt động khác,Lưu chuyển tiền thuần từ HĐKD trước thuế,Chi từ các quỹ của TCTD,"Chi trả cho việc mua lại, trả cổ phiếu",Thu lãi và cổ tức,_Tăng/Giảm các khoản phải thu,_Tăng/Giảm các khoản phải trả,Cố tức đã nhận
FRT,2017,4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
FRT,2017,3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
FRT,2017,2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
FTS,2025,1,173096976962.0,4190604765.0,0.0,,,0.0,0.0,-460740807145.0,0.0,0.0,3665704212.0,-2454984916.0,0.0,-15125123434.0,72000000.0,-24759442986.0,-362485519565.0,-4975172400.0,0.0,0.0,0.0,0.0,0.0,0.0,-4975172400.0,0.0,5184289769359.0,-4572395613617.0,,-570000.0,611893585742.0,244432893777.0,565564523996.0,,809997417773.0,,,,0.0,-6197990105.0,1692492729.0,205505805200.0,
FTS,2024,4,179065432119.0,4525800514.0,10530000.0,,,0.0,0.0,-1165992030493.0,0.0,0.0,590498449.0,-430331235.0,0.0,-27061501405.0,0.0,-213651153.0,-1034759634218.0,-2336324640.0,0.0,0.0,0.0,0.0,0.0,0.0,-2336324640.0,0.0,4495521866202.0,-3362740988989.0,,-138086000.0,1132642791213.0,95546832355.0,470017691641.0,,565564523996.0,,,,0.0,-4462458219.0,-194395949.0,-249758756723.0,
FTS,2024,3,103240799831.0,4862633686.0,0.0,,,0.0,0.0,-629848804442.0,0.0,0.0,-257165486.0,1151367291.0,0.0,-29095017176.0,10000000.0,-23855335.0,-503385966335.0,-493324344.0,0.0,0.0,0.0,0.0,0.0,0.0,-493324344.0,0.0,3819806688325.0,-3588361300685.0,,-36833000.0,231408554640.0,-272470736039.0,742488427680.0,,470017691641.0,,,,0.0,8792617899.0,334345986.0,-701168764493.0,
FTS,2024,2,189595330127.0,4831048050.0,4620000.0,,,-57407407.0,0.0,-408133611152.0,0.0,0.0,406775242.0,-4628428068.0,0.0,-24646495683.0,200000000.0,-347406452.0,-261696851980.0,-515252940.0,57407407.0,0.0,0.0,0.0,0.0,0.0,-457845533.0,55299500000.0,2970005754518.0,-2330475802088.0,,-106743410500.0,588086041930.0,325931344417.0,416557083263.0,,742488427680.0,,,,0.0,-3816853351.0,1180221234.0,220445809724.0,
FTS,2024,1,191271705068.0,4926331505.0,0.0,,,0.0,0.0,-1301351689481.0,0.0,0.0,-211058532.0,-530840412.0,0.0,-19078882703.0,41000000.0,-22591408518.0,-1157956686011.0,-2905614560.0,0.0,0.0,0.0,0.0,0.0,0.0,-2905614560.0,0.0,2874893803776.0,-2550818270724.0,,-13479000.0,324062054052.0,-836800246519.0,1253357329782.0,,416557083263.0,,,,0.0,15242157149.0,-131831828.0,-569793847397.0,
FTS,2023,4,63606256285.0,5170174135.0,22410000.0,,,0.0,0.0,-459137397895.0,0.0,0.0,51123015.0,-30128010.0,0.0,-30186409701.0,0.0,-66520966.0,-329587362015.0,-73800000.0,0.0,0.0,0.0,0.0,0.0,0.0,-73800000.0,0.0,2514050216267.0,-1725518481061.0,,-264304500.0,788267430706.0,458606268691.0,794751061091.0,,1253357329782.0,,,,0.0,-7517203670.0,-3126451525.0,99410717966.0,
FTS,2023,3,211342510333.0,5166012488.0,0.0,,,0.0,0.0,-502864380151.0,0.0,0.0,-1408150737.0,1379308471.0,0.0,-27981771433.0,15000000.0,-32553732.0,-369868890482.0,-2306260000.0,0.0,0.0,0.0,0.0,0.0,0.0,-2306260000.0,0.0,2363010092599.0,-1537414930954.0,,-17618500.0,825577543145.0,453402392663.0,341348668428.0,,794751061091.0,,,,0.0,-11517886822.0,505592675.0,100029208174.0,
FTS,2023,2,168080119419.0,4897795981.0,17775000.0,,,-1290910.0,0.0,-394958759123.0,0.0,0.0,404156089.0,-379135027.0,0.0,-19779985967.0,0.0,-42570954.0,-244462087244.0,-5196105827.0,1290910.0,0.0,0.0,0.0,0.0,0.0,-5194814917.0,0.0,1687219553218.0,-1596244614376.0,,-97060226500.0,-6085287658.0,-255742189819.0,597090858247.0,,341348668428.0,,,,0.0,5665703242.0,1122218815.0,600617375106.0,
FTS,2023,1,98915754716.0,4686023763.0,0.0,,,-31818182.0,0.0,113409396849.0,0.0,0.0,255967338.0,-62593670.0,0.0,-19676880180.0,0.0,-29637820520.0,200441135557.0,-1136872000.0,31818182.0,0.0,0.0,0.0,0.0,0.0,-1105053818.0,0.0,1783000000000.0,-1648000000000.0,,-40123000.0,134959877000.0,334295958739.0,262794899508.0,,597090858247.0,,,,0.0,-16522406709.0,-535130686.0,-3132258424.0,
FTS,2022,4,110579163180.0,4208043039.0,-1042791.0,,,0.0,0.0,-717250113884.0,0.0,0.0,633400736.0,-1757452377.0,0.0,-25927176480.0,0.0,-70789087.0,-590074455106.0,-5859010410.0,0.0,0.0,0.0,0.0,0.0,0.0,-5859010410.0,0.0,2208000000000.0,-2008000000000.0,,-94717500.0,199905282500.0,-396028183016.0,658823082524.0,,262794899508.0,,,,0.0,868622714.0,370948500.0,-1297634825593.0,
