CP,Năm,Kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,Thuế TNDN,Lãi cơ bản trên cổ phiếu
ANV,2021,4,0.12334890846975612,1060255737260,53508463893,-0.38078321522729947,14446836484.0,-34745448073.0,1060255737260.0,-2356234815.0,1057899502445.0,-854049642369.0,203849860076.0,-39200472429.0,286875516.0,-86036531960.0,-24602525173,68744042514.0,2093786636.0,,-77544686.0,2016241950.0,70760284464,-13118060178,-4133760393.0,53508463893,0.0,53508463893,,,,,,,,,,,,,,,,,,
ANV,2021,3,-0.19052437619983778,656115814848,-13169242495,-1.3290409624632231,11936836497.0,-18036176168.0,656115814848.0,-316091318.0,655799723530.0,-586791196775.0,69008526755.0,-21310502936.0,0.0,-65687005897.0,-13862224592,-19914370173.0,1534559375.0,,-299807100.0,1234752275.0,-18679617898,6951925404,-1441550001.0,-13169242495,0.0,-13169242495,,,,,,,,,,,,,,,,,,
ANV,2021,2,0.20308924496338657,1080731742346,23741757224,-0.26116651631541976,7198730484.0,-28939223970.0,1080731742346.0,-6363731565.0,1074368010781.0,-936210796006.0,138157214775.0,-31376113680.0,-178533769.0,-86075731664.0,-6801065297,20924500849.0,3803314337.0,,433483.0,3803747820.0,24728248669,-4525414247,3538922802.0,23741757224,0.0,23741757224,,,,,,,,,,,,,,,,,,
ANV,2021,1,-0.14372412632822232,707322627336,63799682967,0.47141139073459815,7444867562.0,-21238504666.0,707322627336.0,-1463542818.0,705859084518.0,-563561220829.0,142297863689.0,-24028304667.0,0.0,-43157670535.0,-11208237803,71348518246.0,2756714422.0,,-42382867.0,2714331555.0,74062849801,-10198416834,-64750000.0,63799682967,0.0,63799682967,,,,,,,,,,,,,,,,,,
ANV,2020,4,-0.32419309058094076,943834750954,86413135446,-0.562896033912698,9399630904.0,-18935920279.0,943834750954.0,-7475583490.0,936359167464.0,-770068477899.0,166290689565.0,-27402665089.0,-269655707.0,-55696129460.0,-18509106134,73812764079.0,24815838492.0,,-273757058.0,24542081434.0,98354845513,-18812022510,6870312443.0,86413135446,0.0,86413135446,,,,,,,,,,,,,,,,,,
ANV,2020,3,-0.2895739250569319,810544253041,40023109574,-0.738084099473678,8453202842.0,-13348678523.0,810544253041.0,-2246855537.0,808297397504.0,-701232031898.0,107065365606.0,-13805921619.0,0.0,-38005675365.0,-13747737390,49959234074.0,1860650820.0,,-136576918.0,1724073902.0,51683307976,-11976698402,316500000.0,40023109574,0.0,40023109574,,,,,,,,,,,,,,,,,,
ANV,2020,2,-0.15858552458027203,898297235114,32134111066,-0.7902837363031401,12023747210.0,-16573468546.0,898297235114.0,-14203785577.0,884093449537.0,-794134407471.0,89959042066.0,-22129829664.0,-22666094.0,-36339674998.0,-11660677497,31829941023.0,6398011536.0,,-394914628.0,6003096908.0,37833037931,417554313,-6116481178.0,32134111066,0.0,32134111066,,,,,,,,,,,,,,,,,,
ANV,2020,1,-0.09624828907014701,826045260744,43359514116,-0.7835474465012265,13058402489.0,-13754138276.0,826045260744.0,-14880565202.0,811164695542.0,-689808534919.0,121356160623.0,-16692449279.0,0.0,-55221933916.0,-12644313609,49855866308.0,1973201293.0,,-68416792.0,1904784501.0,51760650809,-8929636693,528500000.0,43359514116,0.0,43359514116,,,,,,,,,,,,,,,,,,
ANV,2019,4,0.005491358550084277,1396604174653,197694695428,-0.3335651653011431,12243828117.0,-14979573262.0,1396604174653.0,-17910544055.0,1378693630598.0,-1074555698641.0,304137931957.0,-18949174265.0,0.0,-55915834395.0,-17603698275,223913053139.0,23686869035.0,,-177638460.0,23509230575.0,247422283714,-50852588286,1125000000.0,197694695428,0.0,197694695428,,,,,,,,,,,,,,,,,,
ANV,2019,3,0.08310975722904454,1140926947404,152809010425,0.33841985884346587,13708596720.0,-13794125096.0,1140926947404.0,-13513606476.0,1127413340928.0,-890807754838.0,236605586090.0,-16438975712.0,0.0,-46855356899.0,-10073711824,176946138375.0,1283466344.0,,-4068012479.0,-2784546135.0,174161592240,-20310081815,-1042500000.0,152809010425,0.0,152809010425,,,,,,,,,,,,,,,,,,
ANV,2019,2,0.21843783150676357,1067603733185,153226604840,0.35197923984797963,18570103870.0,-10898932102.0,1067603733185.0,-3110519139.0,1064493214046.0,-839922597110.0,224570616936.0,-15202052017.0,0.0,-45946208037.0,-7063383086,174929077666.0,3214125054.0,,91165753.0,3305290807.0,178234368473,-25450263633,442500000.0,153226604840,0.0,153226604840,,,,,,,,,,,,,,,,,,
ANV,2019,1,0.11788076758055262,914017921907,200318792341,1.639557852754344,7905298001.0,-9151787091.0,914017921907.0,-3751640854.0,910266281053.0,-633008091160.0,277258189893.0,-9521686516.0,0.0,-41991650739.0,-11815267513,221834883126.0,9165477445.0,,-309849106.0,8855628339.0,230690511465,-30746719124,375000000.0,200318792341,0.0,200318792341,,,,,,,,,,,,,,,,,,
ANV,2018,4,0.6230561035439758,1388976804999,296645200903,5.57568410333668,17629244645.0,-12287564846.0,1388976804999.0,-5684978759.0,1383291826240.0,-951604071071.0,431687755169.0,-21666578654.0,-1841272521.0,-50244519048.0,-31624879497,343939750094.0,18771748.0,,-76969343.0,-58197595.0,343881552499,-46973851596,-262500000.0,296645200903,0.0,296645200903,,,,,,,,,,,,,,,,,,
ANV,2018,3,0.4227038588170599,1053380730613,114171206752,2.4395016417641804,22740274569.0,-11338280607.0,1053380730613.0,-1930440719.0,1051450289894.0,-883086569779.0,168363720115.0,-20723559469.0,0.0,-30272116567.0,-8153959943,131954358705.0,251281683.0,,-1051036237.0,-799754554.0,131154604151,-16983397399,0.0,114171206752,0.0,114171206752,,,,,,,,,,,,,,,,,,
ANV,2018,2,0.3076293136868241,876206980429,113335027879,3.101592153117048,31828551622.0,-13430647540.0,876206980429.0,-7690570899.0,868516409530.0,-744631072687.0,123885336843.0,-23508028849.0,-190308173.0,-45368201357.0,39510657662,126158007748.0,1206381060.0,,-26317195.0,1180063865.0,127338071613,-9863988481,0.0,117474083132,4139055253.0,113335027879,,,,,,,,,,,,,,,,,,
ANV,2018,1,0.16588255529227372,817634535287,75891040665,2.049173061544768,1716939799.0,-8861893761.0,817634535287.0,-2903667746.0,814730867541.0,-676345003175.0,138385864366.0,-9321568275.0,0.0,-34951134193.0,-8235841292,87594260405.0,271458984.0,,-35382198.0,236076786.0,87830337191,-11871907281,-39750000.0,75918679910,27639245.0,75891040665,,,,,,,,,,,,,,,,,,
