id,sub_organ_code,ownership_percent,organ_name,type,symbol
22252984,CCLTD,0.65,Công ty Cổ phần Container Miền Trung,công ty con,VSC
22252985,GLGTC,1.0,Công Ty Tnhh Một Thành Viên Trung Tâm Logistics Xanh,công ty con,VSC
22252986,GREENDI,0.6634,Công ty Cổ phần VSC Green Logistics,công ty con,VSC
22252987,GSLINES,1.0,Công ty TNHH MTV Vận Tải Biển Ngôi Sao Xanh,công ty con,VSC
22252988,VIPGP,0.7435,Công ty Cổ phần Cảng xanh VIP,công ty con,VSC
22252989,VSCH,1.0,Công Ty TNHH Một Thành Viên Viconship Hồ Chí Minh,công ty con,VSC
22252990,10748,0.36,Công ty Cổ phần Cảng Vimc Đình Vũ,công ty liên kết,VSC
22252991,DNL,0.309,Công ty Cổ phần Logistics Cảng Đà Nẵng,công ty liên kết,VSC
22252992,TSCONTAINER,0.3,Công ty TNHH Tuyến Container T.s. Hà Nội,công ty liên kết,VSC
22252993,VNA,0.4001,Công ty Cổ phần Vận tải biển Vinaship,công ty liên kết,VSC
22252895,0300437898-004,1.0,Công ty TNHH Đại Lý Vận Tải Quốc Tế Phía Bắc,công ty con,VSA
22252896,0318218907,1.0,Công ty TNHH Vitamas,công ty con,VSA
22252897,0314465616,0.2,Công ty TNHH Nyk Auto Logistics,công ty liên kết,VSA
22252977,2446323,0.9999,Công ty TNHH Bất động sản VINCOM NCT,công ty con,VRE
22252978,NRETAIL,1.0,Công ty TNHH Vận Hành Vincom Retail,công ty con,VRE
22252979,SRETAIL,1.0,Công ty TNHH Vincom Retail Miền Nam,công ty con,VRE
22252980,SUOIHOA,1.0,Công ty Cổ Phần Đầu Tư Và Phát Triển Đô Thị Suối Hoa,công ty con,VRE
22252981,VIC,0.0,Tập đoàn Vingroup - Công ty CP,công ty liên kết,VRE
22252963,ADCC,0.5433,Công ty Cổ phần ADEC,công ty con,VRC
22252964,3500810840,0.4025,Công ty CP Đóng Tàu Và Dịch Vụ Cảng Mỹ Xuân.,công ty liên kết,VRC
22252493,VIGUATO,0.7524,Công ty TNHH Sản Xuất Nông Dược Vi Sinh Viguato,công ty con,VPS
22252494,12560,0.3022,Công ty Cổ phần Trừ mối - Khử trùng,công ty liên kết,VPS
22252495,12561,0.5,CÔNG TY TNHH MOSFLY VIỆT NAM INDUSTRIES (MVI),công ty liên kết,VPS
22252942,0110117956,1.0,Công Ty Cổ Phần Đầu Tư Và Quản Lý Khách Sạn Văn Phú,công ty con,VPI
22252943,VPBA,0.6,Công ty Cổ Phần Văn Phú Bắc Ái,công ty con,VPI
22252944,VPGV,1.0,Công ty TNHH MTV Đầu Tư Văn Phú - Giảng Võ,công ty con,VPI
22252945,VPHOMES,0.6264,Công ty CP Văn Phú - B&c,công ty con,VPI
22252946,VPI1,0.62,Công ty Cổ phần Đầu tư Grand Home,công ty con,VPI
22252947,VPI2,0.8271,Công ty Cổ phần Đầu tư Bất động sản Tân Trí,công ty con,VPI
22252948,VPLB,1.0,Công Ty TNHH Văn Phú Resort - Lộc Bình,công ty con,VPI
22252949,0315983360,0.3,Công ty Cổ Phần Đầu Tư Phong Phú,công ty liên kết,VPI
22252950,10768,0.4,Công ty TNHH Công Viên Trung Văn,công ty liên kết,VPI
22252951,2400951719,0.5,Công ty TNHH Phát Triển Đô Thị Hnb,công ty liên kết,VPI
22252952,3502437494,0.34,Công ty Cổ Phần Logistics Lsh,công ty liên kết,VPI
22252953,3603795545,0.3,Công ty Cổ phần Đầu Tư Hà Phú Riverland,công ty liên kết,VPI
22252954,BOTHNBG,0.33,Công Ty CP Đầu Tư Bot Hà Nội - Bắc Giang,công ty liên kết,VPI
22252955,BTHD,0.517,Công Ty TNHH Bt Hà Đông,công ty liên kết,VPI
22252956,PCPJSC,0.4677,Công ty CP In Và Văn Hóa Phẩm,công ty liên kết,VPI
22252957,VPIDT,0.35,Công ty Cổ Phần Đầu Tư Phát Triển Thương Mại Văn Phú,công ty liên kết,VPI
22252958,VPPROPERTY,0.0,Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,công ty liên kết,VPI
22252913,0316770686,0.99,CÔNG TY CỔ PHẦN ĐẦU TƯ ĐỊNH AN ,công ty con,VPH
22252914,2040188,0.998,Công ty Cổ phần Investment International Inc,công ty con,VPH
22252915,ANHUNGIDA,0.44,CÔNG TY CỔ PHẦN ĐẦU TƯ TM DV AN HƯNG,công ty con,VPH
22252916,HBUREN,0.99,CÔNG TY CỔ PHẦN DỊCH VỤ MÔI TRƯỜNG ĐÔ THỊ HÒA BÌNH,công ty con,VPH
22252917,NBREC,0.9825,CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN NHÀ BÈ,công ty con,VPH
22252918,TCTCO,0.998,Công ty Cổ Phần Thương Mại Dịch Vụ Du Lịch C.t.c,công ty con,VPH
22252919,0308996104,0.2944,CÔNG TY CỔ PHẦN TẤN LỰC,công ty liên kết,VPH
22252920,ANHUNGIDA,0.44,CÔNG TY CỔ PHẦN ĐẦU TƯ TM DV AN HƯNG,công ty liên kết,VPH
22252921,THCONS,0.4,CÔNG TY CỔ PHẦN XÂY DỰNG THUẬN HƯNG,công ty liên kết,VPH
22252922,VHMANA,0.4,Công ty Cổ phần Quản lý Việt Hưng,công ty liên kết,VPH
22252890,12558,1.0,Công Ty Trách Nhiệm Hữu Hạn Một Thành Viên Cung Ứng Nhân Lực Vosco,công ty con,VOS
22252891,VOSAL,0.36,Công ty Cổ Phần Đại Lý Tàu Biển Và Logistics Vosco,công ty con,VOS
22252892,VOSAL,0.36,Công ty Cổ Phần Đại Lý Tàu Biển Và Logistics Vosco,công ty liên kết,VOS
22252893,VOSCOTSC,0.4645,Công ty Cổ phần Thương Mại Và Dịch Vụ Vosco,công ty liên kết,VOS
22252885,VPK,0.5105,Công ty Cổ Phần Bao Bì Dầu Thực Vật,công ty con,VOC
22252886,GOLDENHOPENB,0.49,Công ty TNHH Kido - Nhà Bè,công ty liên kết,VOC
22252887,LGVINACOSME,0.4,Công Ty TNHH Mỹ Phẩm Lg Vina,công ty liên kết,VOC
