CP,Năm,Kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,Thuế TNDN,Lãi cơ bản trên cổ phiếu
DPM,2024,3,-0.045246361595536924,3112439410172,62992593463,-0.01609873079392911,158845536847.0,-17650945594.0,3112439410172.0,-35415418907.0,3077023991265.0,-2718347991073.0,358676000192.0,-25387502862.0,0.0,-232705957731.0,-166062231942,93365844504.0,2219070384.0,0.0,-918614453.0,1300455931.0,94666300435,-26178882589,-1996109631.0,66491308215,3498714752.0,62992593463,,,,,,,,,,,,,,,,,,
DPM,2024,2,0.06728202036235688,4012276874019,230584967612,1.2864599483338879,52505638710.0,-4580581785.0,4012276874019.0,-64667251061.0,3947609622958.0,-3402816902551.0,544792720407.0,-6835483576.0,1107968557.0,-218973434848.0,-119593651065,253003758185.0,2421875173.0,0.0,-802196476.0,1619678697.0,254623436882,-18226191931,-887506009.0,235509738942,4924771330.0,230584967612,,,,,,,,,,,,,,,,,,
DPM,2024,1,0.023219425584677076,3365802133209,264180485732,0.015652195073145737,28148029699.0,-94582193.0,3365802133209.0,-58331845952.0,3307470287257.0,-2705664168823.0,601806118434.0,-2011087764.0,0.0,-198846514480.0,-105097816596,323998729293.0,1589096464.0,0.0,-1750836147.0,-161739683.0,323836989610,-56003949735,0.0,267833039875,3652554143.0,264180485732,,,,,,,,,,,,,,,,,,
DPM,2023,4,-0.12068311234075192,3410805751549,107693346878,-0.9061235151853123,175136785137.0,-4352665281.0,3410805751549.0,-28984739435.0,3381821012114.0,-3049542048748.0,332278963366.0,-12716313095.0,372432205.0,-228046491776.0,-149542446955,117482928882.0,4852115203.0,0.0,-8202274391.0,-3350159188.0,114132769694,27345134245,-34503805960.0,106974097979,-719248899.0,107693346878,,,,,,,,,,,,,,,,,,
DPM,2023,3,-0.1705375370277327,3259939826334,64023287127,-0.9358209196234182,27226858445.0,-13949572943.0,3259939826334.0,-44348883428.0,3215590942906.0,-2807679684183.0,407911258723.0,-16263548561.0,1086929708.0,-216394750293.0,-129616346298,73950401724.0,2216823860.0,0.0,-1257323882.0,959499978.0,74909901702,-24824259309,18425271946.0,68510914339,4487627212.0,64023287127,,,,,,,,,,,,,,,,,,
DPM,2023,2,-0.2556923179422621,3759340827888,100848023942,-0.9240126011976011,184998743436.0,-15718907760.0,3759340827888.0,-52227518522.0,3707113309366.0,-3318447260544.0,388666048822.0,-16462359390.0,1205550350.0,-229823812414.0,-129179792359,199404378445.0,2029961959.0,0.0,-388750059.0,1641211900.0,201045590345,18172516482,-114023311961.0,105194794866,4346770924.0,100848023942,,,,,,,,,,,,,,,,,,
DPM,2023,1,-0.44103189648434443,3289423606560,260109205704,-0.8769727880966578,70213783209.0,-16617153399.0,3289423606560.0,-24763352535.0,3264660254025.0,-2741769638402.0,522890615623.0,-25715617623.0,0.0,-174179283661.0,-94016036392,299193461156.0,1926963354.0,0.0,-242157558.0,1684805796.0,300878266952,-34066303970,-4467547835.0,262344415147,2235209443.0,260109205704,,,,,,,,,,,,,,,,,,
DPM,2022,4,-0.23475028152666141,3878926698006,1147181289229,-0.30205985648992534,156878082549.0,-17825851263.0,3878926698006.0,20766722878.0,3899693420884.0,-2260426631317.0,1639266789567.0,-19191649140.0,1185439296.0,-299091325625.0,-207086099143,1271961237504.0,7100097514.0,0.0,-1844887891.0,5255209623.0,1277216447127,-295096822659,157943707064.0,1140063331532,-7117957697.0,1147181289229,,,,,,,,,,,,,,,,,,
DPM,2022,3,0.3747130405062045,3930183669376,997572522874,0.6141486445702946,92492428288.0,-15356715599.0,3930183669376.0,-45089722867.0,3885093946509.0,-2395823919969.0,1489270026540.0,-16631912855.0,0.0,-224104471320.0,-135616461621,1205409609032.0,8037690360.0,0.0,-136376450.0,7901313910.0,1213310922942,-211954062386,0.0,1001356860556,3784337682.0,997572522874,,,,,,,,,,,,,,,,,,
DPM,2022,2,0.6949567418817736,5050788697350,1327167734801,0.9394790413288762,69017511748.0,-15759771999.0,5050788697350.0,-37508685929.0,5013280011421.0,-3083152620038.0,1930127391383.0,-21307483665.0,1476658227.0,-236266934195.0,-113113526865,1629933616633.0,3930474004.0,0.0,-240055438.0,3690418566.0,1633624035199,-247730849302,-47460780574.0,1338432405323,11264670522.0,1327167734801,,,,,,,,,,,,,,,,,,
