time,open,high,low,close,volume,symbol,category
2023-05,54.28,56.43,53.24,54.97,10097100,FRT,stock
2023-06,55.23,71.6,54.97,71.6,25709339,FRT,stock
2023-07,72.5,81.3,70.2,76.4,27073493,FRT,stock
2023-08,76.5,84.5,68.0,83.5,30675379,FRT,stock
2023-09,83.0,92.0,80.7,89.0,17468325,FRT,stock
2023-10,89.0,99.3,84.6,87.0,15573204,FRT,stock
2023-11,87.0,106.9,84.4,102.4,9271579,FRT,stock
2023-12,103.5,107.0,98.4,107.0,7771164,FRT,stock
2024-01,106.9,116.0,95.7,114.6,13799049,FRT,stock
2024-02,114.6,145.7,114.6,145.0,8829089,FRT,stock
2024-03,144.8,162.1,138.6,156.0,19227230,FRT,stock
2024-04,152.6,163.7,135.0,161.0,15552299,FRT,stock
2024-05,161.0,176.5,156.0,170.5,18274405,FRT,stock
2024-06,172.0,182.8,166.6,177.0,12318983,FRT,stock
2024-07,175.2,184.0,164.3,172.8,10748848,FRT,stock
2024-08,172.6,189.1,160.5,181.7,13891800,FRT,stock
2024-09,179.0,183.0,176.0,178.0,7345500,FRT,stock
2024-10,177.0,183.5,166.7,173.8,8485500,FRT,stock
2024-11,172.1,180.4,159.5,178.5,10107700,FRT,stock
2024-12,178.6,188.9,176.6,185.6,10431400,FRT,stock
2020-01,4.46,5.1,4.21,4.65,1385270,FTS,stock
2020-02,4.58,5.31,4.35,4.85,1696000,FTS,stock
2020-03,4.88,5.4,3.62,3.88,2246010,FTS,stock
2020-04,3.94,4.58,3.85,4.4,1078700,FTS,stock
2020-05,4.4,5.17,4.23,4.97,1738550,FTS,stock
2020-06,4.97,6.76,4.89,6.6,6457040,FTS,stock
2020-07,6.65,6.87,5.15,5.24,10901620,FTS,stock
2020-08,5.26,6.03,5.24,5.81,6554910,FTS,stock
2020-09,5.77,6.38,5.77,5.92,7934660,FTS,stock
2020-10,5.99,6.32,5.11,5.28,6856180,FTS,stock
2020-11,5.35,5.81,5.24,5.63,5628050,FTS,stock
2020-12,5.52,7.26,5.52,7.15,21982400,FTS,stock
2021-01,7.31,8.87,6.19,6.78,22077600,FTS,stock
2021-02,6.78,7.62,6.19,7.31,7269800,FTS,stock
2021-03,7.31,8.12,7.18,7.55,14365100,FTS,stock
2021-04,7.57,8.45,7.46,7.64,12591600,FTS,stock
2021-05,7.4,13.75,7.4,13.72,21888000,FTS,stock
2021-06,14.19,19.22,12.51,18.18,13153600,FTS,stock
2021-07,18.13,20.94,14.98,17.34,8873600,FTS,stock
2021-08,17.34,28.03,17.24,27.34,22535400,FTS,stock
2021-09,27.1,32.17,25.13,27.34,15063500,FTS,stock
2021-10,27.25,32.37,25.23,30.55,14489800,FTS,stock
2021-11,30.89,37.89,30.55,35.52,20257100,FTS,stock
2021-12,35.52,35.67,26.61,29.46,16766700,FTS,stock
2022-01,29.46,30.2,22.17,24.44,7158400,FTS,stock
2022-02,24.63,29.46,24.63,28.13,6384900,FTS,stock
2022-03,28.23,29.66,24.22,27.1,11128600,FTS,stock
2022-04,26.41,31.53,21.36,24.44,13535900,FTS,stock
2022-05,24.09,24.09,15.62,18.35,8232100,FTS,stock
2022-06,18.28,20.0,12.61,17.84,12720400,FTS,stock
2022-07,17.69,20.64,16.55,20.07,19075700,FTS,stock
2022-08,19.92,25.29,19.92,24.47,27038000,FTS,stock
2022-09,24.44,24.94,18.4,20.04,13093877,FTS,stock
2022-10,19.92,20.04,14.32,15.36,11880957,FTS,stock
2022-11,15.81,15.93,7.81,12.23,31668606,FTS,stock
2022-12,12.52,14.48,10.75,11.95,43301891,FTS,stock
2023-01,11.95,14.04,11.7,13.91,20169355,FTS,stock
2023-02,14.1,14.19,10.91,11.29,21432344,FTS,stock
2023-03,11.25,16.5,11.1,16.15,43047144,FTS,stock
2023-04,16.53,19.03,16.15,17.7,50674889,FTS,stock
2023-05,17.58,21.46,17.23,20.68,38179515,FTS,stock
2023-06,20.68,22.35,19.76,20.58,39432042,FTS,stock
2023-07,20.68,23.87,20.61,23.62,32864556,FTS,stock
2023-08,23.62,26.84,20.4,26.7,36166484,FTS,stock
2023-09,27.27,33.22,26.07,30.81,46102823,FTS,stock
2023-10,30.46,34.07,22.95,22.95,59647393,FTS,stock
2023-11,22.88,31.34,22.31,29.96,48210518,FTS,stock
2023-12,30.32,32.23,29.08,31.63,30982665,FTS,stock
2024-01,31.84,34.35,30.17,33.93,29738612,FTS,stock
2024-02,33.72,40.37,33.72,40.37,21519953,FTS,stock
2024-03,40.37,45.33,39.74,44.06,43051240,FTS,stock
2024-04,44.06,46.61,35.06,38.6,39133812,FTS,stock
2024-05,39.38,48.6,37.96,45.5,51017330,FTS,stock
2024-06,46.0,48.75,40.2,40.5,41916739,FTS,stock
2024-07,41.0,44.05,36.0,37.2,41251662,FTS,stock
2024-08,37.5,44.8,33.75,43.7,75973000,FTS,stock
