Đối tượng,Cấp học,Năm,Số lượng,Chỉ số phát triển (%)
Lớp,Trung học cơ sở,1997 - 1998,124.9,106.6
Lớp,Trung học cơ sở,1998 - 1999,133.4,106.8
Lớp,Trung học cơ sở,1999 - 2000,139.5,104.6
Lớp,Trung học cơ sở,2000 - 2001,144.4,103.5
Lớp,Trung học cơ sở,2001 - 2002,153.7,106.4
Lớp,Trung học cơ sở,2002 - 2003,161.3,104.9
Lớp,Trung học cơ sở,2003 - 2004,165.7,102.7
Lớp,Trung học cơ sở,2004 - 2005,170.9,103.1
Lớp,Trung học cơ sở,2005-2006,167.5,98.0
Lớp,Trung học cơ sở,2006-2007,163.8,97.8
Lớp,Trung học cơ sở,2007-2008,160.2,97.8
Lớp,Trung học cơ sở,2008-2009,154.3,96.3
Lớp,Trung học cơ sở,2009-2010,150.0,97.2
Lớp,Trung học cơ sở,2010-2011,151.2,100.8
Lớp,Trung học cơ sở,2011-2012,147.1,97.3
Lớp,Trung học cơ sở,2012-2013,145.4,98.8
Lớp,Trung học cơ sở,2014-2015,150.7,102.2
Lớp,Trung học cơ sở,2015-2016,153.438,101.821584280624
Lớp,Trung học cơ sở,2016-2017,151.669,98.847091333307
Lớp,Trung học cơ sở,2017-2018,153.58,101.259980615683
Lớp,Trung học cơ sở,2018-2019,151.9,98.950384164605
Lớp,Trung học cơ sở,2019-2020,153.322,100.8909770478
Lớp,Trung học cơ sở,2020-2021,157.951,103.019136197023
Lớp,Trung học cơ sở,2022-2023,160.5,100.904049993084
Lớp,Trung học cơ sở,Sơ bộ 2023-2024,168.3,104.859813084112
Lớp,Trung học phổ thông, 2013-2014,64.4,97.7
Lớp,Trung học phổ thông, 2021-2022,69.8,100.777333082891
Lớp,Trung học phổ thông,1995 -1996,21.8,114.1
Lớp,Trung học phổ thông,1996 - 1997,24.6,112.8
Lớp,Trung học phổ thông,1997 - 1998,28.6,116.3
Lớp,Trung học phổ thông,1998 - 1999,33.9,118.5
Lớp,Trung học phổ thông,1999 - 2000,39.3,115.9
Lớp,Trung học phổ thông,2000 - 2001,45.1,114.8
Lớp,Trung học phổ thông,2001 - 2002,50.2,111.3
Lớp,Trung học phổ thông,2002 - 2003,52.1,103.8
Lớp,Trung học phổ thông,2003 - 2004,55.8,107.1
Lớp,Trung học phổ thông,2004 - 2005,59.9,107.3
Lớp,Trung học phổ thông,2005-2006,64.6,107.8
Lớp,Trung học phổ thông,2006-2007,67.2,104.0
Lớp,Trung học phổ thông,2007-2008,68.6,102.1
Lớp,Trung học phổ thông,2008-2009,66.8,97.4
Lớp,Trung học phổ thông,2009-2010,66.4,99.4
Lớp,Trung học phổ thông,2010-2011,66.9,100.7
Lớp,Trung học phổ thông,2011-2012,66.3,99.0
Lớp,Trung học phổ thông,2012-2013,65.9,99.4
Lớp,Trung học phổ thông,2014-2015,63.9,99.2
Lớp,Trung học phổ thông,2015-2016,64.105,100.314534301452
Lớp,Trung học phổ thông,2016-2017,65.094,101.542781374308
Lớp,Trung học phổ thông,2017-2018,65.8,101.084585368851
Lớp,Trung học phổ thông,2018-2019,66.419,100.940729483283
Lớp,Trung học phổ thông,2019-2020,67.525,101.665186166609
Lớp,Trung học phổ thông,2020-2021,69.211,102.496853017401
Lớp,Trung học phổ thông,2022-2023,71.5,102.43553008596
Lớp,Trung học phổ thông,Sơ bộ 2023-2024,73.9,103.356643356643
Lớp,Tổng số, 2013-2014,490.8,100.9
Lớp,Tổng số, 2021-2022,517.352,101.247213681971
Lớp,Tổng số,1995 -1996,436.4,106.6
Lớp,Tổng số,1996 - 1997,459.7,105.3
Lớp,Tổng số,1997 - 1998,476.9,103.7
Lớp,Tổng số,1998 - 1999,494.6,103.7
Lớp,Tổng số,1999 - 2000,501.2,101.3
Lớp,Tổng số,2000 - 2001,509.6,101.7
Lớp,Tổng số,2001 - 2002,518.4,101.7
Lớp,Tổng số,2002 - 2003,522.2,100.7
Lớp,Tổng số,2003 - 2004,520.9,99.8
Lớp,Tổng số,2004 - 2005,519.7,99.8
Lớp,Tổng số,2005-2006,508.7,97.9
Lớp,Tổng số,2006-2007,501.2,98.5
Lớp,Tổng số,2007-2008,495.2,98.8
Lớp,Tổng số,2008-2009,486.2,98.2
Lớp,Tổng số,2009-2010,484.5,99.7
Lớp,Tổng số,2010-2011,490.5,101.2
Lớp,Tổng số,2011-2012,488.1,99.5
Lớp,Tổng số,2012-2013,486.3,99.6
Lớp,Tổng số,2014-2015,494.5,100.7
Lớp,Tổng số,2015-2016,501.033,101.32953389462
Lớp,Tổng số,2016-2017,494.289,98.653980875511
Lớp,Tổng số,2017-2018,499.35,101.023894927866
Lớp,Tổng số,2018-2019,497.342,99.597877240413
Lớp,Tổng số,2019-2020,500.4,100.633568047742
Lớp,Tổng số,2020-2021,510.979,102.095134197681
Lớp,Tổng số,2022-2023,517.8,100.086594813589
Lớp,Tổng số,Sơ bộ 2023-2024,522.5,100.907686365392
