date,nav_per_unit,short_name
2023-01-19,55244.64,DCDS
2023-01-27,55716.22,DCDS
2023-01-30,55929.87,DCDS
2023-01-31,55445.65,DCDS
2023-02-01,56132.72,DCDS
2023-02-02,54220.3,DCDS
2023-02-03,54343.2,DCDS
2023-02-06,54127.15,DCDS
2023-02-07,54565.79,DCDS
2023-02-08,53512.55,DCDS
2023-02-09,53690.81,DCDS
2023-02-10,53425.47,DCDS
2023-02-13,52831.83,DCDS
2023-02-14,52149.21,DCDS
2023-02-15,52149.14,DCDS
2023-02-16,52749.7,DCDS
2023-02-17,53601.64,DCDS
2023-02-20,53615.3,DCDS
2023-02-21,55030.26,DCDS
2023-02-22,54681.09,DCDS
2023-02-23,53191.92,DCDS
2023-02-24,53442.19,DCDS
2023-02-27,52429.43,DCDS
2023-02-28,51278.13,DCDS
2023-03-01,51495.91,DCDS
2023-03-02,52581.45,DCDS
2023-03-03,52455.08,DCDS
2023-03-06,51697.27,DCDS
2023-03-07,51920.28,DCDS
2023-03-08,52544.94,DCDS
2023-03-09,53322.71,DCDS
2023-03-10,53498.21,DCDS
2023-03-13,53207.05,DCDS
2023-03-14,53076.03,DCDS
2023-03-15,52084.89,DCDS
2023-03-16,53499.83,DCDS
2023-03-17,52737.67,DCDS
2023-03-20,52644.66,DCDS
2023-03-21,51483.69,DCDS
2023-03-22,52086.95,DCDS
2023-03-23,52475.09,DCDS
2023-03-24,52750.24,DCDS
2023-03-27,52848.72,DCDS
2023-03-28,53162.89,DCDS
2023-03-29,53138.94,DCDS
2023-03-30,53281.24,DCDS
2023-03-31,53350.36,DCDS
2023-04-03,53653.34,DCDS
2023-04-04,54628.12,DCDS
2023-04-05,54719.93,DCDS
2023-04-06,54938.67,DCDS
2023-04-07,54148.94,DCDS
2023-04-10,54252.4,DCDS
2023-04-11,54103.74,DCDS
2023-04-12,54471.43,DCDS
2023-04-13,54593.28,DCDS
2023-04-14,54325.09,DCDS
2023-04-17,53294.63,DCDS
2023-04-18,53545.26,DCDS
2023-04-19,53819.33,DCDS
2023-04-20,53420.73,DCDS
2023-04-21,53306.93,DCDS
2023-04-24,53057.75,DCDS
2023-04-25,53063.0,DCDS
2023-04-26,52703.89,DCDS
2023-04-27,53081.64,DCDS
2023-04-28,53135.97,DCDS
2023-05-04,53772.17,DCDS
2023-05-05,53431.39,DCDS
2023-05-08,53337.63,DCDS
2023-05-09,53853.22,DCDS
2023-05-10,53901.98,DCDS
